S.no, Handle, Points, A, B, C, D, E, F, G1, G2, H, I, J, K, L, Type
45, kaarthik18, 2089, 216 (+1), 466 (+0), 761 (+3), (-3), 646 (+2), -, -, -, -, -, -, -, -, Active
46, Krishna-7, 2074, 209 (+0), 384 (+0), 556 (+4), 445 (+3), 480 (+0), -, -, -, -, -, -, -, -, Active
47, Varun_777, 2052, 241 (+0), 417 (+1), 724 (+0), 670 (+1), (-1), -, -, -, -, -, -, -, -, Active
48, rohit738, 2048, 246 (+0), 369 (+3), 733 (+3), 700 (+4), -, -, (-1), -, -, -, -, -, -, Active
49, LeonPranav, 1939, 247 (+0), 449 (+1), 678 (+2), 565 (+5), (-1), -, (-5), -, -, -, -, -, -, Active
50, LaggyPlayer, 1829, 247 (+0), 387 (+1), 680 (+4), (-7), 515 (+1), -, -, -, -, -, -, -, -, Active
51, adithya12006, 1694, (-4), 418 (+2), 706 (+2), 570 (+2), -, -, -, -, -, -, -, -, -, Active
52, app6, 1656, 172 (+3), 424 (+2), (-5), 1060 (+1), -, -, (-1), -, -, (-7), -, -, -, Active
53, Shanddosh, 1653, 248 (+0), 480 (+0), 480 (+4), 445 (+4), (-1), -, -, -, -, -, -, -, -, Active
54, vaibhavyadavv32, 1645, 245 (+0), 476 (+0), 924 (+0), (-2), (-2), -, -, -, -, -, -, -, -, Active
55, firefoxvaranasi, 1638, 248 (+0), 281 (+5), 724 (+0), 385 (+10), -, -, -, -, -, -, -, -, -, Active
56, NavinKumarM, 1607, 246 (+0), 408 (+2), 578 (+2), 375 (+4), -, (-1), -, -, -, -, -, -, -, Active
57, nandhagk1729, 1584, -, -, -, -, -, -, -, -, -, 1584 (+0), -, -, -, Active
58, Garima_badugu123, 1571, 237 (+0), 419 (+1), 300 (+3), 615 (+0), -, -, (-2), -, -, -, -, -, -, Active
59, KarunyaP, 1445, 243 (+0), 394 (+2), 808 (+0), (-3), (-1), -, -, -, -, -, -, -, -, Active
60, tausif26, 1438, 247 (+0), 441 (+1), 750 (+2), (-4), (-6), -, -, -, -, -, -, -, -, Active
61, Karthik1812, 1372, 160 (+3), 421 (+1), 791 (+1), (-3), (-5), -, -, -, -, -, -, -, -, Active
62, tbd108, 1366, 241 (+0), 450 (+0), 300 (+1), 375 (+4), -, -, -, -, -, -, -, -, -, Active
63, Herothenewdominator, 1340, 246 (+0), 474 (+0), 620 (+4), -, -, -, -, -, -, -, -, -, -, Active
64, loohith, 1327, 244 (+0), 466 (+0), (-1), (-3), 617 (+1), -, -, -, -, -, -, -, -, Active
65, Jayant08, 1233, 245 (+0), 468 (+0), (-6), (-4), 520 (+2), -, (-1), -, -, -, -, -, -, Active
66, Abijith27UK, 1230, 231 (+0), 478 (+0), 521 (+3), (-4), -, -, -, -, -, -, -, -, -, Active
67, RohanTheZeus, 1223, 248 (+0), 453 (+1), 522 (+6), (-4), -, -, -, -, -, -, -, -, -, Active
68, Vivek52, 1171, 220 (+1), 380 (+2), 571 (+5), (-6), (-3), -, -, -, -, -, -, -, -, Active
69, NinetyBac, 1123, 247 (+0), 462 (+0), 414 (+2), (-5), -, (-3), -, -, -, -, -, -, -, Active
70, ritishbalaji7606, 1100, 241 (+0), 448 (+0), 411 (+1), (-3), -, -, -, -, -, -, -, -, -, Active
71, jojo69, 1021, 242 (+0), 429 (+1), 350 (+2), -, -, -, -, -, -, -, -, -, -, Active
72, Shinaebaka, 1019, 244 (+0), 470 (+0), 305 (+3), (-2), -, -, -, -, (-1), -, -, -, -, Active
73, sahithi_macharapu, 750, 230 (+0), -, -, 520 (+5), -, -, -, -, -, -, -, -, -, Active
74, svKrish01, 709, 243 (+0), 466 (+0), (-4), (-3), (-2), -, -, -, -, -, -, -, -, Active
75, nikhil172, 701, 245 (+0), 456 (+0), (-5), (-3), -, -, -, -, -, -, -, -, -, Active
76, amber_24, 691, 243 (+0), 448 (+0), (-3), -, -, -, -, -, -, -, -, -, -, Active
77, xtreme_sort, 681, 247 (+0), 434 (+0), (-7), (-5), -, -, -, -, -, -, -, -, -, Active
78, Axiom., 673, 247 (+0), 426 (+2), (-6), (-2), (-2), -, -, -, -, -, -, -, -, Active
79, Nani121001, 671, 235 (+0), 436 (+0), (-6), (-3), -, -, -, -, -, -, -, -, -, Active
80, Ketan_Reddy_, 662, 243 (+0), 419 (+1), -, (-3), -, -, -, -, -, -, -, -, -, Active
81, supashC, 640, 241 (+0), 399 (+1), (-3), -, -, -, -, -, -, -, -, -, -, Active
82, Gnyaneswar_Reddy, 628, 208 (+1), 420 (+0), (-4), (-1), -, -, -, -, -, -, -, -, -, Active
83, not_here_to_code, 622, 244 (+0), 378 (+2), (-4), (-1), -, -, -, -, -, -, -, -, -, Active
84, IITianMechCoder, 616, 233 (+0), 383 (+1), (-8), -, -, -, -, -, -, -, -, -, -, Active
85, Zaryann, 589, 245 (+0), 344 (+2), (-1), (-2), -, (-1), -, -, -, -, -, -, -, Active
86, HANESHA, 583, 233 (+0), 350 (+0), -, (-2), -, -, -, -, -, -, -, -, -, Active
87, codeblooded14, 580, 242 (+0), 338 (+2), -, (-4), -, -, -, -, -, -, -, -, -, Active
88, N.M.G-07, 571, 237 (+0), 334 (+2), (-5), (-1), -, -, -, -, -, -, -, -, -, Active
89, AaryanSriram, 550, 245 (+0), 305 (+1), (-4), (-1), -, -, -, -, -, -, -, -, -, Active
90, unhinged_priest, 526, 211 (+1), 315 (+1), (-4), -, -, -, -, -, -, -, -, -, -, Active
91, jp_21280, 440, 139 (+4), 301 (+3), -, (-6), (-2), -, -, -, -, -, -, -, -, Active
92, Dharunpathi, 415, 232 (+0), 183 (+3), (-6), -, -, -, -, -, -, -, -, -, -, Active
93, devanshgoyal_07, 278, (-7), 278 (+2), (-1), (-5), -, -, -, -, -, -, -, -, -, Active
94, sachikaiitm, 245, 245 (+0), -, (-6), -, -, -, -, -, -, -, -, -, -, Active
95, seemple_12, 244, 244 (+0), (-2), (-5), -, -, -, -, -, -, -, -, -, -, Active
96, randomplayer1424, 242, 242 (+0), (-1), -, -, -, -, -, -, -, -, -, -, -, Active
97, san_rizz_707, 242, 242 (+0), -, (-4), (-4), -, -, -, -, -, -, -, -, -, Active
98, eshikanahata, 241, 241 (+0), -, (-1), (-1), -, -, -, -, -, -, -, -, -, Active
99, uzui2524, 239, 239 (+0), (-9), (-2), -, -, -, -, -, -, -, -, -, -, Active
100, SecretAgent07, 238, 238 (+0), -, -, -, -, -, -, -, -, -, -, -, -, Active
101, Arshidha_S, 224, 224 (+0), -, (-2), -, -, -, -, -, -, -, -, -, -, Active
102, dhanushracharla777, 214, 214 (+1), -, (-2), (-1), -, -, -, -, -, -, -, -, -, Active
103, LoopSorcerer, 213, 213 (+0), -, -, -, -, -, -, -, -, -, -, -, -, Active
104, rahul24nov2006, 206, 206 (+0), -, (-6), -, -, -, -, -, -, -, -, -, -, Active
105, khushantabh09, 200, 200 (+1), -, (-6), -, -, -, -, -, -, -, -, -, -, Active
106, N3PTUN1UM, 165, 165 (+1), (-9), (-1), -, -, -, -, -, -, -, -, -, -, Active
107, Akshith.24, 0, (-4), -, -, (-1), (-1), -, -, -, -, -, -, -, -, Active
